trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,gate_profile,gap_threshold,dead_zone_enabled,price_band,min_price,max_price,directions,family
69,64,0.5507246376811594,35,0.546875,3.3299999999999983,4.709999999999999,0.09659281411171985,-4.630000000000001,0.48246376811594194,0.48,0.10607598157510895,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,both,all
53,53,0.5471698113207547,29,0.5471698113207547,2.6499999999999986,3.71,0.09992316556683475,-2.38,0.4771698113207548,0.48,0.10790534461440851,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,both,central
16,16,0.5625,9,0.5625,0.6799999999999993,0.9999999999999996,0.08277510726371957,-3.08,0.5,0.505,0.10001621650742926,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,both,wings
7,7,0.8571428571428571,6,0.8571428571428571,2.4499999999999997,2.59,0.8784842430622725,-0.54,0.48714285714285716,0.51,0.7738547919995157,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,both,wing_high
9,9,0.3333333333333333,3,0.3333333333333333,-1.7700000000000005,-1.5900000000000003,-0.41173759209175936,-2.59,0.51,0.5,-0.424080453319749,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,both,wing_low
5,5,0.6,3,0.6,0.29999999999999993,0.4,0.11595420713048965,-0.45999999999999996,0.52,0.53,0.06922157022057715,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,YES,all
2,2,0.0,0,0.0,-1.01,-0.97,-7.935309433315697,-0.45999999999999996,0.485,0.485,-1.0415951972555746,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,YES,central
3,3,1.0,3,1.0,1.31,1.37,11.533906872865675,0.0,0.5433333333333333,0.56,0.809766081871345,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,YES,wings
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,YES,wing_high
3,3,1.0,3,1.0,1.31,1.37,11.533906872865675,0.0,0.5433333333333333,0.56,0.809766081871345,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,YES,wing_low
64,61,0.546875,32,0.5245901639344263,3.029999999999998,4.309999999999999,0.09423017713548679,-3.62,0.47953124999999996,0.48,0.10895523246218175,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,NO,all
51,51,0.5686274509803921,29,0.5686274509803921,3.6599999999999984,4.68,0.14424816675892127,-2.38,0.4768627450980393,0.48,0.15298379723676075,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,NO,central
13,13,0.46153846153846156,6,0.46153846153846156,-0.6300000000000004,-0.3700000000000002,-0.09134248710395738,-3.08,0.48999999999999994,0.48,-0.06377221396116672,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,NO,wings
7,7,0.8571428571428571,6,0.8571428571428571,2.4499999999999997,2.59,0.8784842430622725,-0.54,0.48714285714285716,0.51,0.7738547919995157,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,NO,wing_high
6,6,0.0,0,0.0,-3.08,-2.96,-8.718533162913383,-2.59,0.49333333333333335,0.475,-1.041003720915296,CORE,1PM,no_gate1,35,True,40_60,0.4,0.6,NO,wing_low
320,233,0.440625,106,0.45493562231759654,21.82999999999999,28.049999999999997,0.13770127183021239,-11.400000000000002,0.35296874999999994,0.33,0.28849552286567337,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,both,all
269,206,0.43866171003717475,93,0.45145631067961167,19.419999999999995,24.63,0.14599086538545494,-10.280000000000001,0.3471003717472119,0.32,0.29731428637319474,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,both,central
51,50,0.45098039215686275,23,0.46,2.4099999999999993,3.419999999999999,0.09364986696009531,-5.240000000000001,0.38392156862745097,0.38,0.24198086828678617,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,both,wings
15,15,0.7333333333333333,11,0.7333333333333333,4.689999999999999,4.99,0.7246594414644142,-0.7599999999999998,0.40066666666666667,0.4,0.8347664732349084,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,both,wing_high
36,36,0.3333333333333333,12,0.3333333333333333,-2.2800000000000002,-1.5700000000000005,-0.12756349258390184,-5.54,0.37694444444444447,0.35,-0.005013133774931461,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,both,wing_low
107,107,0.38317757009345793,41,0.38317757009345793,10.699999999999996,12.68,0.20607505399328718,-4.460000000000004,0.26467289719626164,0.23,0.47538377198967174,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,YES,all
86,86,0.3372093023255814,29,0.3372093023255814,6.8100000000000005,8.38,0.16531381979069584,-4.15,0.23976744186046509,0.23,0.4090236479133069,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,YES,central
21,21,0.5714285714285714,12,0.5714285714285714,3.8899999999999997,4.3,0.3609321444743514,-1.81,0.3666666666666667,0.33,0.7471442801119275,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,YES,wings
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,YES,wing_high
21,21,0.5714285714285714,12,0.5714285714285714,3.8899999999999997,4.3,0.3609321444743514,-1.81,0.3666666666666667,0.33,0.7471442801119275,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,YES,wing_low
213,206,0.4694835680751174,94,0.4563106796116505,11.129999999999995,15.369999999999997,0.10433991890093877,-7.789999999999999,0.3973239436619718,0.39,0.194612693493524,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,NO,all
183,181,0.48633879781420764,87,0.48066298342541436,12.609999999999996,16.25,0.1370235866547273,-8.01,0.3975409836065574,0.39,0.2448169907860382,CORE,1PM,no_gate1,35,False,15_85,0.15,0.85,NO,central
