trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,gate_profile,gap_threshold,dead_zone_enabled,price_band,min_price,max_price,directions,family,source,target,stop_diff,exit_counts,path_available_trades,path_available_rate,p_yes_max,yes_price_min,yes_price_max
460,323,0.5978260869565217,171,0.5294117647058824,-6.890000000000002,8.44,-0.0460758267347404,-17.04,0.5183043478260869,0.53,-0.01610725347734725,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.75,0.25,"{""SETTLEMENT"": 130, ""STOP"": 101, ""TARGET"": 229}",335.0,0.7282608695652174,,,
460,323,0.44130434782608696,140,0.43343653250773995,-9.240000000000002,2.820000000000004,-0.04887064516252748,-17.039999999999996,0.5183043478260869,0.53,-0.04271240662592604,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,none,0.25,"{""SETTLEMENT"": 280, ""STOP"": 180}",335.0,0.7282608695652174,,,
460,323,0.5804347826086956,174,0.5386996904024768,-9.549999999999997,5.430000000000007,-0.06848790259257602,-17.329999999999995,0.5183043478260869,0.53,-0.020048082949120076,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.65,none,"{""SETTLEMENT"": 171, ""TARGET"": 289}",335.0,0.7282608695652174,,,
460,323,0.5391304347826087,155,0.47987616099071206,-14.570000000000014,0.79999999999999,-0.10181594546220987,-20.259999999999998,0.5183043478260869,0.53,-0.04708897551601896,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.7,0.25,"{""SETTLEMENT"": 130, ""STOP"": 93, ""TARGET"": 237}",335.0,0.7282608695652174,,,
460,323,0.5391304347826087,154,0.47678018575851394,-15.43999999999999,-0.0499999999999865,-0.1104157920866817,-21.379999999999985,0.5183043478260869,0.53,-0.050893021187542346,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.68,0.25,"{""SETTLEMENT"": 130, ""STOP"": 84, ""TARGET"": 246}",335.0,0.7282608695652174,,,
460,323,0.5173913043478261,153,0.47368421052631576,-17.549999999999997,-2.109999999999993,-0.12970620833334764,-22.919999999999984,0.5183043478260869,0.53,-0.06072074904752112,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.65,0.25,"{""SETTLEMENT"": 130, ""STOP"": 71, ""TARGET"": 259}",335.0,0.7282608695652174,,,
460,323,0.5391304347826087,154,0.47678018575851394,-17.860000000000003,-2.4499999999999993,-0.12460042756542034,-24.099999999999984,0.5183043478260869,0.53,-0.08745903747875813,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.75,0.2,"{""SETTLEMENT"": 125, ""STOP"": 133, ""TARGET"": 202}",335.0,0.7282608695652174,,,
460,323,0.5152173913043478,151,0.4674922600619195,-18.509999999999994,-3.169999999999991,-0.12359188893533153,-23.999999999999986,0.5183043478260869,0.53,-0.0941625452152282,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.8,0.2,"{""SETTLEMENT"": 125, ""STOP"": 154, ""TARGET"": 181}",335.0,0.7282608695652174,,,
460,323,0.5,139,0.43034055727554177,-20.070000000000004,-4.569999999999999,-0.14716264816023183,-25.589999999999993,0.5183043478260869,0.53,-0.10359941035038096,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.75,0.15,"{""SETTLEMENT"": 125, ""STOP"": 151, ""TARGET"": 184}",335.0,0.7282608695652174,,,
460,323,0.5130434782608696,147,0.4551083591331269,-20.52000000000001,-5.420000000000007,-0.15377344211293845,-25.680000000000003,0.5183043478260869,0.53,-0.06678966341958537,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.6,none,"{""SETTLEMENT"": 165, ""TARGET"": 295}",335.0,0.7282608695652174,,,
460,323,0.4391304347826087,121,0.3746130030959752,-21.780000000000005,-6.189999999999999,-0.16840872249148708,-27.12999999999999,0.5183043478260869,0.53,-0.11155346119831086,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.75,0.1,"{""SETTLEMENT"": 125, ""STOP"": 179, ""TARGET"": 156}",335.0,0.7282608695652174,,,
460,323,0.4652173913043478,133,0.4117647058823529,-22.89,-7.429999999999991,-0.16272298290120454,-27.49999999999998,0.5183043478260869,0.53,-0.12332998021567594,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.8,0.15,"{""SETTLEMENT"": 125, ""STOP"": 177, ""TARGET"": 158}",335.0,0.7282608695652174,,,
460,323,0.3826086956521739,124,0.38390092879256965,-23.080000000000002,-10.29,-0.1319464766854559,-27.470000000000006,0.5183043478260869,0.53,-0.12636516579611895,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,none,0.2,"{""SETTLEMENT"": 245, ""STOP"": 215}",335.0,0.7282608695652174,,,
460,323,0.4826086956521739,137,0.4241486068111455,-24.010000000000012,-8.580000000000007,-0.17437410860504027,-29.450000000000003,0.5183043478260869,0.53,-0.1100467289457733,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.7,0.2,"{""SETTLEMENT"": 125, ""STOP"": 124, ""TARGET"": 211}",335.0,0.7282608695652174,,,
1016,434,0.9173228346456693,357,0.8225806451612904,92.85000000000001,106.81999999999998,0.3134947205802388,-10.380000000000003,0.8121850393700787,0.87,0.27319724952880126,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.1,0.05,
