trades,win_rate,net_pnl,avg_entry,avg_gap_abs,avg_model_prob,avg_confidence,sharpe,max_drawdown,factor,value,losses,loss_net,loss_share
171,0.8830409356725146,26.990000000000002,0.7052046783625732,28.276140408232163,0.03564579923462962,61.82052631578948,0.48870165369986607,-2.139999999999999,entry_bucket,65-75c,20,-14.469999999999999,0.11695906432748537
385,0.9506493506493506,18.19999999999999,0.8915584415584416,12.42145271062153,0.004227031335343114,42.57846753246753,0.21532581446795343,-4.4399999999999995,entry_bucket,>75c,19,-16.79,0.04935064935064935
268,0.9664179104477612,8.309999999999988,0.925410447761194,9.079154376896875,0.0037980084698372033,38.89664179104478,0.16916685619341432,-2.83,gap_bucket,0-15,9,-8.45,0.033582089552238806
66,0.9242424242424242,4.930000000000001,0.8366666666666668,17.90568427990443,0.004276490534288967,49.344090909090916,0.27676223394730254,-0.8700000000000001,gap_bucket,15-20,5,-4.3,0.07575757575757576
156,0.6794871794871795,2.819999999999996,0.6414102564102564,22.786251597507857,0.2154781748622576,51.97121794871795,0.043555140643152704,-4.94,gap_bucket,20-25,50,-27.580000000000002,0.32051282051282054
143,0.6783216783216783,9.03,0.5951748251748251,27.54146382038954,0.23203933408626404,58.97258741258741,0.1559364546522644,-3.5800000000000014,gap_bucket,25-30,46,-22.790000000000003,0.32167832167832167
146,0.684931506849315,12.179999999999996,0.5815068493150686,32.42809461713896,0.18827210346355552,64.61787671232877,0.1926957703034851,-3.509999999999998,gap_bucket,30-35,46,-24.540000000000006,0.3150684931506849
18,0.8888888888888888,4.1899999999999995,0.6361111111111112,37.73962757284228,0.00649261316046604,70.44999999999999,0.7242421567295697,-0.66,gap_bucket,35-40,2,-1.3,0.1111111111111111
117,0.5384615384615384,6.179999999999993,0.4656410256410256,43.76959770639107,0.25332250620567964,73.3974358974359,0.10382775575157349,-8.840000000000003,gap_bucket,40-50,54,-25.88,0.46153846153846156
59,0.3898305084745763,1.5999999999999994,0.3435593220338983,61.2271877067099,0.2727180272878779,76.84745762711864,0.055446971911247776,-4.960000000000001,gap_bucket,50+,36,-12.600000000000001,0.6101694915254238
364,0.8598901098901099,9.23999999999999,0.8208241758241758,19.6240867219627,0.001121770143010301,47.505192307692305,0.08669304295856232,-18.67,model_prob_bucket,0-0.5%,51,-31.800000000000004,0.1401098901098901
101,0.900990099009901,12.609999999999998,0.7599999999999999,24.784309779673617,0.007404426955739055,56.09554455445546,0.40901021956374745,-2.4800000000000004,model_prob_bucket,0.5-1%,10,-6.85,0.09900990099009901
136,0.9191176470588235,21.009999999999994,0.7483823529411765,25.309006503504964,0.013968758494362077,56.54147058823529,0.6172588572243237,-1.7300000000000004,model_prob_bucket,1-2%,11,-5.9399999999999995,0.08088235294117647
62,0.6774193548387096,1.7199999999999989,0.6296774193548387,33.48588423189719,0.03546373832618935,66.04693548387097,0.05689191273279116,-6.7200000000000015,model_prob_bucket,2-5%,20,-13.15,0.3225806451612903
43,0.7209302325581395,4.699999999999998,0.5916279069767442,34.18731166620945,0.0664989763611612,65.50372093023256,0.261891129391548,-2.7299999999999978,model_prob_bucket,5-10%,12,-6.419999999999999,0.27906976744186046
92,0.532608695652174,-2.440000000000003,0.5391304347826088,30.415064919902985,0.1567189160183614,59.26847826086957,-0.05386751732948989,-6.190000000000003,model_prob_bucket,10-25%,43,-23.330000000000002,0.4673913043478261
22,0.4090909090909091,-0.18,0.3972727272727274,27.02601464086981,0.3299025151568946,55.191363636363626,-0.017078795979396023,-1.4200000000000002,model_prob_bucket,25-50%,13,-5.1000000000000005,0.5909090909090909
82,0.3902439024390244,0.7699999999999996,0.36085365853658535,29.558546009415,0.6564391186307353,61.565975609756094,0.01911909993527496,-5.39,model_prob_bucket,50-75%,50,-18.810000000000002,0.6097560975609756
71,0.4647887323943662,1.8099999999999985,0.4192957746478873,39.495622496071356,0.814251999608601,67.20197183098593,0.05134191093787572,-5.909999999999999,model_prob_bucket,75-100%,38,-16.04,0.5352112676056338
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual_minus_consensus_bucket,<-8F,0,0.0,0.0
2,0.5,-0.09000000000000002,0.525,28.645893171372443,0.4355791887308863,53.195,-0.07856742013183864,0.0,actual_minus_consensus_bucket,-8:-5F,1,-0.45,0.5
2,0.5,-0.6600000000000001,0.815,20.411495012339596,0.000885049876604,36.715,-0.5691347263208799,-0.74,actual_minus_consensus_bucket,-5:-3F,1,-0.74,0.5
75,0.7333333333333333,0.47999999999999843,0.7106666666666667,24.952798600384522,0.14354170478412157,50.37786666666667,0.015840833971755206,-4.24,actual_minus_consensus_bucket,-3:-1F,20,-11.899999999999999,0.26666666666666666
327,0.9051987767584098,75.32,0.6578899082568808,25.803868757430706,0.17504483914856017,56.757584097859336,0.7485986364907771,-5.809999999999992,actual_minus_consensus_bucket,-1:+1F,31,-15.23,0.09480122324159021
343,0.6822157434402333,-8.660000000000009,0.6908746355685133,25.452231185759643,0.13840409622693833,55.292478134110794,-0.07110311320864925,-17.19,actual_minus_consensus_bucket,+1:+3F,109,-53.94,0.3177842565597668
91,0.5054945054945055,-15.790000000000001,0.6623076923076924,28.784318562751746,0.10895717047565648,55.73208791208791,-0.4414468804570998,-16.380000000000003,actual_minus_consensus_bucket,+3:+5F,45,-23.869999999999997,0.4945054945054945
