date,ticker,bracket,bracket_type,sleeve,gap_pp,direction,entry_price,entry_timing,confidence,model_prob,kalshi_result_yes,reconstructed_result_yes,settlement_mismatch,consensus,model_weight_source,weight_gfs,weight_ecmwf,weight_ukmo,weight_nbm,physics_mean,physics_spread,ai_mean,ai_spread,win,gross,fee,net,actual_temp,settlement_temp,month,month_num,quarter,is_current_tradeable,gap_abs,spread_between,actual_minus_consensus,entry_bucket,gap_bucket,prob_bucket,model_error_bucket,loss_mode
2025-01-18,KXHIGHNY-25JAN18-B45.5,<=nanF,wing_low,CORE,-56.99999999999999,NO,0.43,9AM,75.33,0.0,True,False,True,43.690000000000005,fixed_weights,0.25,0.35,0.2,0.2,44.1,0.8999999999999986,43.3,1.099999999999998,False,-0.43,0.02,-0.45,46.0,46.0,2025-01,1,2025Q1,True,56.99999999999999,0.8000000000000043,2.309999999999995,35-45c,50+,0-0.5%,+1:+3F,NO_loss_cold_lower_tail_hit
2025-01-18,KXHIGHNY-25JAN18-B45.5,<=nanF,wing_low,DEEP_TAIL_NO,-56.99999999999999,NO,0.45,9AM,75.33,0.0,True,False,True,43.690000000000005,fixed_weights,0.25,0.35,0.2,0.2,44.1,0.8999999999999986,43.3,1.099999999999998,False,-0.45,0.02,-0.4700000000000001,46.0,46.0,2025-01,1,2025Q1,True,56.99999999999999,0.8000000000000043,2.309999999999995,35-45c,50+,0-0.5%,+1:+3F,NO_loss_cold_lower_tail_hit
2025-01-19,KXHIGHNY-25JAN19-B39.5,39-40F,central,CORE,40.70654023211638,YES,0.34,9AM,74.0,0.7470654023211638,False,False,False,39.25,fixed_weights,0.25,0.35,0.2,0.2,39.2,2.5,39.95,1.5500000000000007,False,-0.34,0.02,-0.36,41.0,41.0,2025-01,1,2025Q1,True,40.70654023211638,0.75,1.75,25-35c,40-50,50-75%,+1:+3F,YES_loss_near_model_or_adjacent
2025-01-19,KXHIGHNY-25JAN19-B41.5,<=nanF,wing_low,DEEP_TAIL_NO,-87.0,NO,0.15,9AM,79.0,0.0,True,False,True,39.25,fixed_weights,0.25,0.35,0.2,0.2,39.2,2.5,39.95,1.5500000000000007,False,-0.15,0.01,-0.16,41.0,41.0,2025-01,1,2025Q1,True,87.0,0.75,1.75,<25c,50+,0-0.5%,+1:+3F,NO_loss_cold_lower_tail_hit
2025-01-20,KXHIGHNY-25JAN20-B26.5,<=nanF,wing_low,CORE,-54.0,NO,0.4599999999999999,9AM,75.0,0.0,True,False,True,27.110000000000003,fixed_weights,0.25,0.35,0.2,0.2,26.6,0.2999999999999989,27.950000000000003,0.1500000000000003,False,-0.4599999999999999,0.02,-0.48,26.0,26.0,2025-01,1,2025Q1,True,54.0,1.3500000000000014,-1.110000000000003,45-55c,50+,0-0.5%,-3:-1F,NO_loss_cold_lower_tail_hit
2025-01-20,KXHIGHNY-25JAN20-B26.5,<=nanF,wing_low,DEEP_TAIL_NO,-54.0,NO,0.48,9AM,75.0,0.0,True,False,True,27.110000000000003,fixed_weights,0.25,0.35,0.2,0.2,26.6,0.2999999999999989,27.950000000000003,0.1500000000000003,False,-0.48,0.02,-0.5,26.0,26.0,2025-01,1,2025Q1,True,54.0,1.3500000000000014,-1.110000000000003,45-55c,50+,0-0.5%,-3:-1F,NO_loss_cold_lower_tail_hit
2025-01-21,KXHIGHNY-25JAN21-B19.5,<=nanF,wing_low,CORE,-48.0,NO,0.52,9AM,62.33,0.0,True,False,True,18.99,fixed_weights,0.25,0.35,0.2,0.2,18.2,0.6999999999999993,20.35,1.1500000000000004,False,-0.52,0.02,-0.54,19.0,19.0,2025-01,1,2025Q1,True,48.0,2.150000000000002,0.010000000000001563,45-55c,40-50,0-0.5%,-1:+1F,NO_loss_cold_lower_tail_hit
2025-01-21,KXHIGHNY-25JAN21-B19.5,<=nanF,wing_low,DEEP_TAIL_NO,-48.0,NO,0.54,9AM,62.33,0.0,True,False,True,18.99,fixed_weights,0.25,0.35,0.2,0.2,18.2,0.6999999999999993,20.35,1.1500000000000004,False,-0.54,0.02,-0.56,19.0,19.0,2025-01,1,2025Q1,True,48.0,2.150000000000002,0.010000000000001563,45-55c,40-50,0-0.5%,-1:+1F,NO_loss_cold_lower_tail_hit
2025-01-22,KXHIGHNY-25JAN22-B20.5,<=nanF,wing_low,CORE,-48.0,NO,0.52,9AM,84.67,0.0,True,False,True,19.48,fixed_weights,0.25,0.35,0.2,0.2,19.6,1.4000000000000004,19.65,0.0499999999999989,False,-0.52,0.02,-0.54,20.0,20.0,2025-01,1,2025Q1,True,48.0,0.04999999999999716,0.5199999999999996,45-55c,40-50,0-0.5%,-1:+1F,NO_loss_cold_lower_tail_hit
2025-01-22,KXHIGHNY-25JAN22-B20.5,<=nanF,wing_low,DEEP_TAIL_NO,-48.0,NO,0.54,9AM,84.67,0.0,True,False,True,19.48,fixed_weights,0.25,0.35,0.2,0.2,19.6,1.4000000000000004,19.65,0.0499999999999989,False,-0.54,0.02,-0.56,20.0,20.0,2025-01,1,2025Q1,True,48.0,0.04999999999999716,0.5199999999999996,45-55c,40-50,0-0.5%,-1:+1F,NO_loss_cold_lower_tail_hit
