trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,p_yes_max,yes_price_min,yes_price_max
911,439,0.9967069154774972,436,0.9931662870159453,-1.029999999999991,8.080000000000009,-0.019786925468452777,-1.8199999999999998,0.9878375411635566,0.99,-0.0011393832495439483,NEAR_CONFIRMED_NO,9AM,0.005,,0.05
967,441,0.9948293691830403,436,0.9886621315192744,-1.069999999999989,8.600000000000012,-0.01553453917918518,-3.6599999999999997,0.9859358841778698,0.99,-0.0011151282497699243,NEAR_CONFIRMED_NO,9AM,0.005,,0.1
487,315,1.0,315,1.0,4.224051664003525e-15,4.8700000000000045,0.0,0.0,0.99,0.99,8.761229676650543e-18,NEAR_CONFIRMED_NO,9AM,0.01,,0.01
815,421,0.9987730061349693,420,0.997624703087886,-0.999999999999993,7.1500000000000075,-0.035028472205202686,-1.0,0.9899999999999999,0.99,-0.0012393877424552184,NEAR_CONFIRMED_NO,9AM,0.01,,0.03
970,441,0.9958762886597938,437,0.9909297052154195,-1.7099999999999906,7.990000000000011,-0.027665036925127395,-2.0999999999999974,0.987639175257732,0.99,-0.0017938773560290837,NEAR_CONFIRMED_NO,9AM,0.01,,0.05
1035,442,0.9932367149758454,435,0.9841628959276018,-2.439999999999988,7.910000000000013,-0.029085987036012773,-3.67999999999999,0.9855942028985508,0.99,-0.002423548250103363,NEAR_CONFIRMED_NO,9AM,0.01,,0.1
497,318,1.0,318,1.0,4.310787837802366e-15,4.970000000000004,0.0,0.0,0.9900000000000002,0.99,8.761229676650542e-18,NEAR_CONFIRMED_NO,9AM,0.02,,0.01
848,427,0.9988207547169812,426,0.9976580796252927,-0.9999999999999928,7.4800000000000075,-0.034340140987172016,-1.0,0.9900000000000001,0.99,-0.0011911568515342015,NEAR_CONFIRMED_NO,9AM,0.02,,0.03
1011,442,0.9960435212660732,438,0.9909502262443439,-1.5699999999999898,8.540000000000012,-0.024870180768395703,-1.9799999999999962,0.9875964391691396,0.99,-0.001578577182865202,NEAR_CONFIRMED_NO,9AM,0.02,,0.05
1083,443,0.9935364727608494,436,0.9841986455981941,-2.039999999999987,8.790000000000013,-0.023748295634975984,-3.6299999999999994,0.9854201292705448,0.99,-0.0019309571741422111,NEAR_CONFIRMED_NO,9AM,0.02,,0.1
521,323,0.9980806142034548,322,0.9969040247678018,-0.9999999999999956,4.210000000000004,-0.04381079543383217,-1.0,0.9900000000000001,0.99,-0.0019387735318637347,NEAR_CONFIRMED_NO,9AM,0.05,,0.01
892,431,0.9966367713004485,428,0.9930394431554525,-2.9999999999999925,5.920000000000008,-0.05805854819348909,-3.0,0.99,0.99,-0.0033972007066177387,NEAR_CONFIRMED_NO,9AM,0.05,,0.03
1067,445,0.9943767572633552,439,0.9865168539325843,-3.3999999999999893,7.270000000000012,-0.04271559463318983,-3.8899999999999966,0.9875632614807874,0.99,-0.003225512837061868,NEAR_CONFIRMED_NO,9AM,0.05,,0.05
1149,446,0.9921671018276762,437,0.9798206278026906,-3.5199999999999867,7.970000000000015,-0.03496005958410709,-5.029999999999986,0.9852306353350739,0.99,-0.0031071635936247475,NEAR_CONFIRMED_NO,9AM,0.05,,0.1
548,337,0.9452554744525548,307,0.9109792284866469,1.5000000000000009,7.520000000000006,0.0148145765677818,-12.950000000000001,0.9315328467153285,0.98,0.0016469378793540989,DEEP_TAIL_NO,11AM,0.005,0.01,
284,224,0.9014084507042254,196,0.875,3.5,6.880000000000001,0.05083184542641043,-10.949999999999998,0.8771830985915493,0.94,0.010291281612986146,DEEP_TAIL_NO,11AM,0.005,0.03,
198,174,0.8585858585858586,146,0.8390804597701149,2.2500000000000027,4.769999999999998,0.0391092144659319,-11.049999999999999,0.8344949494949496,0.9,0.00827782035360183,DEEP_TAIL_NO,11AM,0.005,0.05,
117,107,0.7948717948717948,83,0.7757009345794392,2.509999999999999,4.219999999999998,0.06485253620920728,-9.399999999999999,0.758803418803419,0.82,0.01576486505019004,DEEP_TAIL_NO,11AM,0.005,0.1,
72,69,0.6944444444444444,47,0.6811594202898551,0.02999999999999875,1.2899999999999991,0.001073729300077133,-8.6,0.6765277777777778,0.74,-0.013232380939317378,DEEP_TAIL_NO,11AM,0.005,0.15,
40,40,0.5,20,0.5,-3.320000000000001,-2.5700000000000007,-0.18011814518211416,-8.64,0.56425,0.655,-0.12495493734324467,DEEP_TAIL_NO,11AM,0.005,0.25,
643,364,0.9455676516329704,329,0.9038461538461539,7.7000000000000055,14.950000000000006,0.06170917341165173,-11.659999999999998,0.9223172628304821,0.98,0.016337644617650467,DEEP_TAIL_NO,11AM,0.01,0.01,
352,264,0.90625,231,0.875,9.700000000000001,14.040000000000003,0.11006683916404865,-10.19,0.8663636363636364,0.93,0.035583259969747934,DEEP_TAIL_NO,11AM,0.01,0.03,
